Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2013-07-05,WJA,443,YYZ,YEG,3,B24,,58,false,,2013-07-05T19:45,2013-07-05T19:49,,,,,2013-07-05T21:53,2013-07-05T21:52,Boeing 737-800,,,,,,,,8b7992a1-51a2-4aab-a4ff-1ffc565d1dea,5af6212f-9d69-4cba-971b-d20f2c3bab21,54b344b9-4034-43bf-9f74-6934fe37e671,daf6cd5c-a0ec-411f-8429-cc2af48773ab,,bfed5d53-9645-4ae2-aa8b-808123bd938b
2016-07-22,CPA,825,YYZ,HKG,3,,1,,false,,2016-07-22T15:35,2016-07-22T15:43,,,,,2016-07-23T19:00,2016-07-23T18:47,Boeing 777-300 ER,,,,,,,,eb94b8ce-edd7-4331-aa8a-f46cf441b76f,8508d82c-f03a-4c99-88d8-46ede5aceb6d,54b344b9-4034-43bf-9f74-6934fe37e671,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2016-08-01,CPA,520,HKG,NRT,1,36,2,72,false,,2016-08-01T10:30,2016-08-01T10:30,,,,,2016-08-01T15:55,2016-08-01T15:50,Boeing 747-400,,,,,,,,df214ef6-0e46-4d6a-95d4-2f8db47e7f7d,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,42cbe764-fc30-49b0-9e72-eca5f6c21767,,c71ef305-0d60-4253-9650-b4f6eaf4713c
2016-08-05,CPA,505,NRT,HKG,2,72,1,,false,,2016-08-05T18:35,2016-08-05T18:58,,,,,2016-08-05T22:25,2016-08-05T22:19,Boeing 777-300,,,,,,,,6404344c-74f7-48b6-8e80-2511973cbecc,8508d82c-f03a-4c99-88d8-46ede5aceb6d,42cbe764-fc30-49b0-9e72-eca5f6c21767,7da61aa8-3d56-411b-8be5-50a198e86c60,,41adc260-cf8e-4245-a647-67b85d4348b6
2016-08-07,CPA,828,HKG,YYZ,1,64,3,,false,,2016-08-07T10:45,2016-08-07T10:45,,,,,2016-08-07T13:55,2016-08-07T13:52,Boeing 777-300 ER,,,,,,,,90df6f33-4064-4db8-a173-c35892d4d664,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,54b344b9-4034-43bf-9f74-6934fe37e671,,78eac566-1ad0-4ded-9979-9510dfde05f2
2016-12-27,WJA,3600,YYZ,BOS,3,,A,A1,false,,2016-12-27T07:45,2016-12-27T08:01,,,,,2016-12-27T09:28,2016-12-27T09:36,DHC-8-400 Dash 8Q,,,,,,,,c7b2d704-f05b-4317-b6af-ab1552450d2c,5af6212f-9d69-4cba-971b-d20f2c3bab21,54b344b9-4034-43bf-9f74-6934fe37e671,813ec62f-c303-44d9-a041-a4434d6fd652,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2016-12-31,WJA,3609,BOS,YYZ,A,A1,3,B7E,false,,2016-12-31T19:45,2016-12-31T20:23,,,,,2016-12-31T21:50,2016-12-31T22:30,DHC-8-400 Dash 8Q,,,,,,,,3b6cb382-5e26-4ce5-9f5a-522e0a7e8b32,5af6212f-9d69-4cba-971b-d20f2c3bab21,813ec62f-c303-44d9-a041-a4434d6fd652,54b344b9-4034-43bf-9f74-6934fe37e671,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2017-05-07,ACA,1887,YYZ,SAN,1,F51,2,,false,,2017-05-07T08:25,2017-05-07T08:17,,,,,2017-05-07T10:38,2017-05-07T10:47,Airbus A321,,,,,,,,1a57eada-9f48-464f-96b1-d255a13856f6,e01c58da-cfd8-4db7-9078-f950d668ba1a,54b344b9-4034-43bf-9f74-6934fe37e671,dbeb2230-9c7b-428a-b122-a07186f48a86,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2017-05-14,NKS,245,LAS,SAN,,,,,false,,2017-05-14T17:32,2017-05-14T17:34,,,,,2017-05-14T18:40,2017-05-14T18:38,Airbus A320,,,,,,,,926337b2-e6f1-405c-93ad-95b682703fa9,ffe5c844-1817-47ed-ab7c-6b41364be364,13ec7b81-ab66-4c6c-b632-92f18740c05b,dbeb2230-9c7b-428a-b122-a07186f48a86,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2017-05-17,ACA,1886,SAN,YYZ,2,34,1,,false,,2017-05-17T11:40,2017-05-17T11:40,,,,,2017-05-17T19:18,2017-05-17T19:14,Airbus A321,,,,,,,,aa62656f-4b4e-48b4-8b26-79f65289d0b3,e01c58da-cfd8-4db7-9078-f950d668ba1a,dbeb2230-9c7b-428a-b122-a07186f48a86,54b344b9-4034-43bf-9f74-6934fe37e671,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2018-08-22,ACA,1914,YYZ,BCN,1,E70,1,,false,,2018-08-22T22:35,2018-08-23T00:24,,,,,2018-08-23T12:20,2018-08-23T13:56,Boeing 767-300,,,,,,,,bc0e02c6-a7c0-4a6d-9d86-8633413d1b16,e01c58da-cfd8-4db7-9078-f950d668ba1a,54b344b9-4034-43bf-9f74-6934fe37e671,72d63683-9cc9-40da-9394-b2557edacb91,,3e31e7b6-cfc1-4a82-b88b-bbb8ecad73c3
